Hour,Minute,Draw Amount
18,29,0.802019957144
18,36,0.534181393854
18,42,0.580389807276
18,49,0.36402774334
19,2,0.232130332615
19,4,0.315270868761
19,8,0.499586767504
19,10,1.08359776362
19,11,0.699881576947
19,15,0.401972809003
19,20,0.329751571732
19,21,0.0801556925116
19,23,0.703494126484
19,24,0.645368249449
19,25,0.67280578243
19,33,0.331173365695
19,37,1.02860942829
19,54,0.868453080114
19,58,0.432045274213
20,1,0.432131413915
20,6,0.665876357405
20,7,0.669314168929
20,8,0.465611447905
20,10,0.374712256394
20,12,0.163777233415
20,21,0.879155275036
20,22,0.689225352262
