Day #,Mains Temp (F)
1,54.392
2,54.316
3,54.242
4,54.169
5,54.098
6,54.028
7,53.961
8,53.895
9,53.831
10,53.769
11,53.709
12,53.651
13,53.594
14,53.540
15,53.487
16,53.436
17,53.388
18,53.341
19,53.296
20,53.253
21,53.213
22,53.174
23,53.137
24,53.103
25,53.070
26,53.039
27,53.011
28,52.985
29,52.960
30,52.938
31,52.918
32,52.900
33,52.884
34,52.870
35,52.859
36,52.849
37,52.842
38,52.837
39,52.833
40,52.832
41,52.834
42,52.837
43,52.842
44,52.850
45,52.860
46,52.871
47,52.885
48,52.901
49,52.919
50,52.940
51,52.962
52,52.987
53,53.013
54,53.042
55,53.072
56,53.105
57,53.140
58,53.177
59,53.216
60,53.257
61,53.300
62,53.344
63,53.391
64,53.440
65,53.491
66,53.544
67,53.598
68,53.655
69,53.714
70,53.774
71,53.836
72,53.900
73,53.966
74,54.034
75,54.103
76,54.174
77,54.247
78,54.322
79,54.398
80,54.476
81,54.556
82,54.637
83,54.720
84,54.804
85,54.890
86,54.978
87,55.067
88,55.158
89,55.249
90,55.343
91,55.438
92,55.534
93,55.631
94,55.730
95,55.830
96,55.931
97,56.034
98,56.137
99,56.242
100,56.348
101,56.455
102,56.563
103,56.672
104,56.783
105,56.894
106,57.006
107,57.119
108,57.232
109,57.347
110,57.462
111,57.579
112,57.696
113,57.813
114,57.931
115,58.050
116,58.170
117,58.290
118,58.410
119,58.531
120,58.653
121,58.775
122,58.897
123,59.020
124,59.142
125,59.266
126,59.389
127,59.513
128,59.636
129,59.760
130,59.884
131,60.008
132,60.132
133,60.256
134,60.380
135,60.504
136,60.627
137,60.751
138,60.874
139,60.997
140,61.120
141,61.242
142,61.365
143,61.486
144,61.607
145,61.728
146,61.849
147,61.968
148,62.087
149,62.206
150,62.324
151,62.441
152,62.558
153,62.674
154,62.789
155,62.903
156,63.016
157,63.129
158,63.240
159,63.351
160,63.460
161,63.569
162,63.676
163,63.783
164,63.888
165,63.993
166,64.096
167,64.197
168,64.298
169,64.397
170,64.496
171,64.592
172,64.688
173,64.782
174,64.874
175,64.966
176,65.055
177,65.144
178,65.230
179,65.315
180,65.399
181,65.481
182,65.562
183,65.640
184,65.718
185,65.793
186,65.867
187,65.939
188,66.009
189,66.078
190,66.144
191,66.209
192,66.272
193,66.334
194,66.393
195,66.450
196,66.506
197,66.560
198,66.611
199,66.661
200,66.709
201,66.755
202,66.799
203,66.841
204,66.881
205,66.918
206,66.954
207,66.988
208,67.020
209,67.049
210,67.077
211,67.102
212,67.126
213,67.147
214,67.166
215,67.183
216,67.198
217,67.211
218,67.222
219,67.230
220,67.237
221,67.241
222,67.243
223,67.243
224,67.241
225,67.237
226,67.230
227,67.222
228,67.211
229,67.199
230,67.184
231,67.167
232,67.148
233,67.126
234,67.103
235,67.078
236,67.050
237,67.021
238,66.989
239,66.955
240,66.920
241,66.882
242,66.842
243,66.800
244,66.757
245,66.711
246,66.663
247,66.613
248,66.562
249,66.508
250,66.452
251,66.395
252,66.336
253,66.275
254,66.212
255,66.147
256,66.080
257,66.012
258,65.941
259,65.869
260,65.796
261,65.720
262,65.643
263,65.564
264,65.484
265,65.402
266,65.319
267,65.233
268,65.147
269,65.058
270,64.969
271,64.878
272,64.785
273,64.691
274,64.596
275,64.499
276,64.401
277,64.302
278,64.201
279,64.099
280,63.996
281,63.892
282,63.787
283,63.680
284,63.573
285,63.464
286,63.355
287,63.244
288,63.133
289,63.020
290,62.907
291,62.793
292,62.678
293,62.562
294,62.445
295,62.328
296,62.210
297,62.092
298,61.973
299,61.853
300,61.733
301,61.612
302,61.491
303,61.369
304,61.247
305,61.124
306,61.002
307,60.879
308,60.755
309,60.632
310,60.508
311,60.384
312,60.261
313,60.137
314,60.013
315,59.889
316,59.765
317,59.641
318,59.517
319,59.393
320,59.270
321,59.147
322,59.024
323,58.901
324,58.779
325,58.657
326,58.536
327,58.415
328,58.294
329,58.174
330,58.055
331,57.936
332,57.817
333,57.700
334,57.583
335,57.467
336,57.351
337,57.236
338,57.123
339,57.010
340,56.898
341,56.787
342,56.676
343,56.567
344,56.459
345,56.352
346,56.246
347,56.141
348,56.037
349,55.935
350,55.834
351,55.733
352,55.635
353,55.537
354,55.441
355,55.346
356,55.253
357,55.161
358,55.070
359,54.981
360,54.894
361,54.808
362,54.723
363,54.640
364,54.559
365,54.479
